,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET
83,63,21,45,23,21,13,43,25,NORMAL
84,55,12,35,20,17,7,37,23,NORMAL
85,45,8,27,16,12,7,33,19,REABASTECER
86,35,65,18,16,9,5,31,14,REABASTECER
87,24,57,9,14,5,43,26,11,REABASTECER
88,14,51,65,12,43,43,20,8,NORMAL
89,4,43,59,6,40,43,15,6,REABASTECER
90,86,37,50,43,38,41,12,43,NORMAL
91,74,27,41,42,34,38,7,38,NORMAL
92,61,22,32,42,32,32,1,34,REABASTECER
93,52,19,27,39,29,31,43,31,NORMAL
94,41,10,20,35,26,31,39,28,NORMAL
95,31,8,10,32,23,30,34,23,REABASTECER
96,19,65,2,30,17,30,29,19,NORMAL
97,12,63,65,29,14,27,27,15,REABASTECER
98,86,55,60,23,8,27,22,10,NORMAL
99,79,53,52,17,5,22,20,6,REABASTECER
100,72,49,48,13,43,21,16,43,NORMAL
101,64,46,39,7,37,16,12,38,NORMAL
102,52,44,34,6,34,11,6,33,REABASTECER
103,44,37,30,43,30,5,43,28,REABASTECER
104,35,27,22,39,28,43,41,26,NORMAL
105,28,24,15,35,22,40,38,24,NORMAL
106,15,20,9,29,18,40,32,20,REABASTECER
107,7,13,65,29,13,37,30,16,REABASTECER
108,86,10,60,26,9,34,27,11,NORMAL
109,77,7,50,26,5,31,24,8,REABASTECER
110,65,65,40,25,43,30,18,6,REABASTECER
111,54,62,30,20,37,25,16,43,NORMAL
112,44,58,22,14,34,23,10,37,NORMAL
113,33,56,18,10,32,18,8,32,NORMAL
114,25,47,12,5,29,18,3,29,REABASTECER
115,14,43,4,43,23,12,43,23,NORMAL
116,3,41,65,39,19,12,40,17,REABASTECER
117,86,39,56,37,16,9,36,15,NORMAL
118,78,31,47,32,11,9,34,12,NORMAL
119,68,24,40,32,6,8,28,9,REABASTECER
120,60,20,33,32,43,7,26,3,REABASTECER
121,47,18,23,31,41,3,22,43,REABASTECER
122,40,8,14,30,37,43,17,38,NORMAL
123,31,65,10,29,33,39,11,33,NORMAL
124,22,55,1,27,31,37,5,31,REABASTECER
125,15,49,65,25,26,32,43,28,NORMAL
126,4,39,58,23,20,27,40,22,REABASTECER
127,86,36,50,22,16,26,37,20,NORMAL
128,74,32,45,17,13,24,34,15,NORMAL
129,63,30,40,15,9,24,32,10,NORMAL
130,56,21,35,10,4,23,30,5,REABASTECER
131,45,15,25,10,43,23,24,43,NORMAL
132,38,10,18,7,41,23,21,37,NORMAL
133,29,6,10,2,37,23,19,32,REABASTECER
134,22,65,0,43,31,20,14,29,REABASTECER
135,12,55,65,41,25,16,12,27,NORMAL
136,86,49,59,35,21,11,7,23,NORMAL
137,78,41,50,35,15,7,5,20,REABASTECER
138,70,32,43,33,12,6,43,14,REABASTECER
139,57,29,35,28,8,43,40,10,NORMAL
140,45,19,31,24,2,40,37,8,REABASTECER
141,34,17,25,18,43,38,35,4,REABASTECER
142,27,14,18,12,39,36,31,43,NORMAL
143,18,4,9,10,33,31,27,37,REABASTECER
144,6,65,65,6,28,31,21,32,REABASTECER
145,86,62,61,43,24,30,16,30,NORMAL
146,73,59,52,38,22,26,10,26,NORMAL
147,63,57,42,38,20,23,7,21,NORMAL
148,54,48,33,35,18,21,1,17,REABASTECER
149,47,41,24,29,16,15,43,12,NORMAL
150,39,37,18,29,10,9,39,10,NORMAL
151,31,29,14,28,8,5,33,7,REABASTECER
152,24,26,6,26,6,43,30,5,REABASTECER
153,15,17,65,24,43,38,28,43,NORMAL
154,5,14,59,24,39,34,25,38,REABASTECER
155,86,5,53,18,36,33,23,33,REABASTECER
156,76,65,48,12,32,28,18,27,NORMAL
157,63,63,44,6,27,24,13,25,NORMAL
158,56,56,34,43,25,22,11,19,NORMAL
159,47,48,25,43,22,22,8,17,NORMAL
160,39,44,19,38,18,21,3,11,REABASTECER
161,30,41,13,38,12,21,43,8,NORMAL
162,17,32,6,36,8,19,39,5,REABASTECER
163,5,26,65,32,6,19,36,43,REABASTECER
164,86,19,61,31,43,15,30,38,NORMAL
165,77,11,53,30,38,15,27,36,NORMAL
166,69,6,48,25,35,10,21,34,REABASTECER
167,62,65,39,24,29,6,19,29,REABASTECER
168,49,59,32,20,24,43,15,24,NORMAL
169,38,53,28,20,21,41,12,21,NORMAL
170,31,43,23,14,15,40,8,19,NORMAL
171,24,41,18,11,13,39,6,15,REABASTECER
172,13,37,12,11,10,39,43,9,NORMAL
173,1,34,4,10,4,33,39,7,REABASTECER
174,86,27,65,10,43,32,36,5,NORMAL
175,77,25,58,7,37,27,32,43,NORMAL
176,64,15,51,1,32,26,26,37,REABASTECER
177,53,8,45,43,28,23,24,34,NORMAL
178,41,65,41,40,24,22,18,31,NORMAL
179,29,62,32,40,22,22,14,29,NORMAL
180,21,54,27,40,17,16,8,27,NORMAL
181,8,51,21,37,13,10,2,22,REABASTECER
182,86,41,16,36,9,6,43,19,REABASTECER
183,77,39,8,36,3,43,40,16,REABASTECER
184,64,34,65,33,43,40,35,12,NORMAL
185,57,25,57,32,40,40,31,6,REABASTECER
186,44,23,49,31,37,40,28,43,NORMAL
187,37,17,39,25,32,39,26,40,NORMAL
188,28,14,30,19,28,36,21,35,NORMAL
189,21,10,20,14,25,35,19,30,NORMAL
190,10,1,10,9,22,31,17,25,REABASTECER
191,86,65,4,6,17,27,15,23,REABASTECER
192,75,56,65,43,14,24,9,21,NORMAL
193,64,53,56,41,11,23,4,18,REABASTECER
194,51,49,48,38,7,23,43,15,NORMAL
195,40,47,40,38,1,17,39,13,REABASTECER
196,32,44,30,35,43,16,35,9,NORMAL
197,22,40,22,31,37,12,30,4,NORMAL
198,10,37,14,30,34,12,26,43,REABASTECER
199,86,28,7,25,32,9,23,41,REABASTECER
200,77,25,65,23,27,6,18,38,REABASTECER
201,67,20,56,20,21,43,13,33,NORMAL
202,54,13,51,20,19,37,8,29,NORMAL
203,43,4,45,18,13,33,3,26,REABASTECER
204,30,65,35,17,8,30,43,20,NORMAL
205,21,63,25,11,3,29,40,16,REABASTECER
206,11,53,21,11,43,29,37,10,REABASTECER
207,86,49,16,5,37,25,35,5,REABASTECER
208,77,47,10,43,32,22,31,43,NORMAL
209,69,43,2,41,29,20,27,39,REABASTECER
210,58,35,65,39,24,17,21,36,NORMAL
211,47,27,56,36,22,11,15,30,NORMAL
212,40,18,46,36,20,7,10,24,NORMAL
213,33,10,42,30,15,2,6,18,REABASTECER
214,24,5,34,28,11,43,43,14,REABASTECER
215,12,65,25,27,9,38,38,12,REABASTECER
216,86,60,18,21,3,34,36,10,REABASTECER
217,78,54,13,15,43,32,34,7,NORMAL
218,69,51,3,10,38,26,29,4,REABASTECER
219,61,46,65,6,32,24,26,43,NORMAL
220,48,42,58,43,29,19,20,40,NORMAL
221,37,38,49,42,25,16,18,38,NORMAL
222,29,29,44,37,22,15,14,35,NORMAL
223,19,24,40,32,19,10,11,30,NORMAL
224,12,16,36,30,16,8,9,27,REABASTECER
225,86,11,30,30,14,6,4,25,REABASTECER
226,78,3,24,25,12,43,43,21,REABASTECER
227,69,65,15,22,6,38,38,16,REABASTECER
228,59,57,10,18,43,37,36,13,NORMAL
229,50,54,0,16,38,37,32,8,REABASTECER
230,41,47,65,11,32,36,30,6,REABASTECER
231,34,38,59,7,30,31,26,43,NORMAL
232,23,35,49,5,27,29,20,37,REABASTECER
233,10,32,39,43,22,26,14,31,NORMAL
234,86,30,30,43,16,20,9,25,NORMAL
235,74,21,20,43,11,18,5,22,REABASTECER
236,67,18,13,43,6,17,43,18,NORMAL
237,54,15,4,42,43,16,38,14,REABASTECER
238,41,11,65,37,41,12,36,9,NORMAL
239,29,3,56,36,35,6,33,7,REABASTECER
240,17,65,49,30,29,43,31,2,REABASTECER
241,9,60,43,25,26,40,28,43,REABASTECER
242,86,53,36,21,24,35,23,37,NORMAL
243,76,51,29,21,19,34,17,33,NORMAL
244,66,46,21,19,13,32,12,31,NORMAL
245,57,44,14,13,8,30,7,25,NORMAL
246,45,35,9,7,4,30,1,20,REABASTECER
247,34,27,65,7,43,24,43,17,NORMAL
248,25,20,55,7,41,21,37,15,NORMAL
249,15,10,47,7,36,17,31,12,NORMAL
250,7,3,37,1,32,13,29,7,REABASTECER
251,86,65,33,43,27,11,24,3,NORMAL
252,73,56,23,41,23,5,19,43,REABASTECER
253,65,53,15,41,19,43,16,38,NORMAL
254,52,47,6,36,15,37,10,34,REABASTECER
255,39,43,65,33,10,32,8,28,NORMAL
256,28,36,58,28,4,30,4,25,REABASTECER
257,21,34,48,23,43,26,43,21,NORMAL
258,11,26,38,17,37,22,39,17,REABASTECER
259,86,21,32,15,34,16,33,13,NORMAL
260,78,19,25,12,29,10,27,9,NORMAL
261,65,13,20,12,27,9,22,3,REABASTECER
262,58,4,15,8,25,3,17,43,REABASTECER
263,47,65,7,2,19,43,12,37,REABASTECER
264,36,58,65,43,17,40,10,34,NORMAL
265,28,48,60,43,14,40,6,31,NORMAL
266,16,44,56,40,10,38,43,28,NORMAL
267,4,37,51,36,5,34,41,24,REABASTECER
268,86,29,42,35,43,33,38,18,NORMAL
269,73,27,34,34,37,30,33,15,NORMAL
270,62,25,29,34,34,27,31,9,NORMAL
271,55,16,22,31,30,25,25,3,REABASTECER
272,46,13,14,28,24,23,19,43,NORMAL
273,39,9,4,22,20,22,16,37,REABASTECER
274,32,65,65,16,17,16,11,32,NORMAL
275,23,61,55,11,15,10,9,28,NORMAL
276,11,57,46,5,12,4,3,26,REABASTECER
277,86,49,40,43,9,43,43,24,NORMAL
278,78,44,31,43,4,40,41,20,REABASTECER
279,66,34,27,42,43,36,37,14,NORMAL
280,55,32,18,40,38,34,35,9,NORMAL
281,43,26,12,40,36,32,31,5,REABASTECER
282,31,18,2,37,34,26,26,43,REABASTECER
283,23,11,65,32,31,20,24,40,NORMAL
284,15,2,57,29,29,20,22,36,REABASTECER
285,8,65,47,26,25,17,16,31,NORMAL
286,86,58,43,25,19,16,14,25,NORMAL
287,78,48,36,24,13,16,10,20,NORMAL
288,70,46,29,22,11,10,6,17,REABASTECER
289,61,41,20,20,9,7,43,15,NORMAL
290,50,33,10,20,7,6,38,11,REABASTECER
291,40,23,4,18,5,43,34,8,REABASTECER
292,33,14,65,14,43,42,30,4,REABASTECER
293,25,10,59,13,40,38,27,43,NORMAL
294,14,0,54,12,35,38,21,38,REABASTECER
295,6,65,46,8,30,32,16,35,NORMAL
296,86,62,41,8,28,32,14,32,NORMAL
297,78,54,35,5,26,26,10,30,REABASTECER
298,66,47,31,43,21,25,8,27,NORMAL
299,55,43,26,39,18,24,4,25,REABASTECER
300,44,35,19,33,14,21,43,23,NORMAL
301,32,33,13,27,9,19,41,18,NORMAL
302,23,31,7,27,6,14,38,15,REABASTECER
303,12,28,65,26,43,13,35,11,NORMAL
304,86,19,58,20,39,9,32,7,NORMAL
305,73,11,52,14,36,6,27,3,REABASTECER
306,66,9,48,13,34,43,24,43,REABASTECER
307,53,65,38,13,31,42,18,40,NORMAL
308,42,62,28,11,27,39,16,38,NORMAL
309,31,55,22,8,24,34,14,36,NORMAL
310,21,52,13,4,22,31,10,30,NORMAL
311,8,43,9,43,17,30,7,25,REABASTECER
312,86,35,65,40,15,25,4,20,NORMAL
313,75,26,55,38,11,20,43,18,NORMAL
314,62,18,49,35,6,19,38,12,NORMAL
315,49,15,43,34,43,13,33,10,NORMAL
316,37,10,35,33,39,11,29,6,REABASTECER
317,27,6,27,30,33,7,25,43,NORMAL
318,16,65,20,29,30,6,20,37,NORMAL
319,6,55,11,26,26,43,16,32,REABASTECER
320,86,51,6,20,20,40,14,27,REABASTECER
321,79,47,65,16,18,39,10,23,NORMAL
322,66,42,61,13,15,34,8,20,NORMAL
323,53,40,55,13,9,33,6,14,REABASTECER
324,42,36,51,10,6,32,43,11,REABASTECER
325,35,29,46,6,43,29,38,9,NORMAL
326,26,21,37,43,41,26,34,7,NORMAL
327,15,12,33,40,39,23,28,1,REABASTECER
328,4,6,23,37,35,19,26,43,REABASTECER
329,86,65,16,31,33,18,22,41,NORMAL
330,79,60,11,28,28,16,19,39,NORMAL
331,72,56,4,25,26,14,15,33,REABASTECER
332,65,47,65,21,24,8,11,30,NORMAL
333,57,37,59,16,21,7,6,25,REABASTECER
334,44,34,55,15,17,6,43,22,REABASTECER
335,37,32,45,11,12,43,37,20,NORMAL
336,29,30,39,8,8,42,31,17,NORMAL
337,22,27,35,3,4,41,25,15,REABASTECER
338,15,17,26,43,43,41,21,11,NORMAL
339,4,13,16,38,38,41,17,6,REABASTECER
340,86,3,9,38,36,36,11,43,REABASTECER
341,75,65,65,33,30,33,5,40,NORMAL
342,62,57,61,28,24,28,43,34,NORMAL
343,51,50,51,25,21,27,39,32,NORMAL
344,41,42,44,20,19,22,36,27,NORMAL
345,28,38,36,18,15,21,30,21,NORMAL
346,15,34,31,12,10,16,26,18,NORMAL
347,5,28,21,10,7,12,23,16,REABASTECER
348,86,22,17,7,2,7,20,10,REABASTECER
349,79,19,13,2,43,4,18,7,NORMAL
350,69,10,8,43,39,43,16,4,REABASTECER
351,60,5,65,39,37,38,14,43,REABASTECER
352,49,65,60,37,31,38,12,37,NORMAL
353,41,62,54,37,26,34,9,35,NORMAL
354,33,53,45,33,20,31,4,31,REABASTECER
355,26,49,39,27,17,27,43,26,NORMAL
356,14,41,32,25,11,22,38,24,NORMAL
357,7,37,24,21,8,17,34,20,REABASTECER
358,86,28,16,16,3,11,29,17,REABASTECER
359,76,21,8,16,43,8,26,12,REABASTECER
360,64,14,65,13,38,2,22,7,REABASTECER
361,54,8,59,9,33,43,20,2,REABASTECER
362,41,65,55,8,27,39,18,43,NORMAL
363,33,56,51,3,25,37,14,41,REABASTECER
364,25,51,45,43,20,32,9,35,NORMAL
365,14,48,39,43,15,28,4,33,NORMAL
366,7,45,29,40,9,23,43,30,REABASTECER
367,86,36,22,36,7,22,37,27,NORMAL
368,73,27,13,36,4,20,34,23,NORMAL
369,62,19,8,31,43,14,29,20,REABASTECER
370,49,15,65,27,38,13,25,17,NORMAL
371,38,6,55,25,33,11,21,15,REABASTECER
372,27,65,45,24,30,6,19,11,REABASTECER
373,16,56,36,18,26,43,14,7,NORMAL
374,9,47,26,18,21,37,10,5,REABASTECER
375,86,44,20,15,17,31,4,43,NORMAL
376,73,37,11,15,13,30,43,41,NORMAL
377,63,28,3,15,11,24,39,35,REABASTECER
378,52,22,65,15,5,23,33,33,NORMAL
379,39,17,58,11,43,23,27,28,NORMAL
380,29,7,48,11,38,20,22,26,REABASTECER
381,22,65,39,8,33,18,19,24,NORMAL
382,14,61,32,6,31,16,14,19,NORMAL
383,3,54,26,43,26,10,10,16,NORMAL
384,86,46,21,37,24,9,5,14,REABASTECER
385,74,37,13,36,22,4,43,12,NORMAL
386,66,29,3,30,17,43,37,10,REABASTECER
387,58,19,65,27,14,39,31,8,NORMAL
388,47,16,60,27,9,34,28,6,REABASTECER
389,39,9,56,26,4,28,24,43,REABASTECER
390,31,65,50,26,43,28,20,37,NORMAL
391,86,65,65,43,43,43,43,43,NORMAL
392,73,58,61,42,40,40,40,38,NORMAL
393,62,53,54,38,37,37,38,35,NORMAL
394,52,50,50,33,33,33,32,32,NORMAL
395,44,45,46,32,30,29,30,29,NORMAL
396,34,43,37,30,26,27,24,24,NORMAL
397,26,34,28,26,22,21,20,18,NORMAL
398,14,27,18,20,19,19,17,16,NORMAL
399,6,17,13,15,15,13,15,12,REABASTECER
400,86,8,5,14,9,11,9,8,REABASTECER
401,75,65,65,13,7,5,6,2,REABASTECER
402,68,61,58,13,4,43,43,43,NORMAL
403,60,55,48,7,43,42,41,39,NORMAL
404,50,49,41,7,39,37,39,36,NORMAL
405,38,47,33,1,36,31,33,33,REABASTECER
406,31,42,28,43,32,25,30,29,NORMAL
407,21,35,24,43,27,23,25,26,NORMAL
408,11,27,18,39,21,22,21,20,REABASTECER
409,86,22,9,37,15,19,18,18,REABASTECER
410,77,17,65,34,11,17,13,15,NORMAL
411,66,14,55,33,7,13,11,9,NORMAL
412,56,6,48,28,2,12,7,5,REABASTECER
413,44,65,43,28,43,7,1,43,REABASTECER
414,32,55,37,22,40,6,43,38,NORMAL
415,25,50,29,18,38,43,37,32,NORMAL
416,18,42,25,16,36,37,33,26,NORMAL
417,5,37,19,16,31,33,30,21,REABASTECER
418,86,28,9,10,25,29,24,19,NORMAL
419,74,18,65,6,22,23,20,14,REABASTECER
420,63,12,60,43,16,19,18,10,NORMAL
421,52,9,54,38,12,16,16,6,REABASTECER
422,45,65,47,32,8,11,11,43,NORMAL
423,36,56,43,26,4,5,7,40,REABASTECER
424,23,53,33,20,43,43,1,38,REABASTECER
425,10,46,29,17,38,37,43,33,REABASTECER
426,86,44,19,17,36,32,40,31,NORMAL
427,76,41,14,17,31,32,34,26,NORMAL
428,65,35,5,16,26,29,29,24,REABASTECER
429,55,32,65,12,21,27,26,22,NORMAL
430,42,30,60,10,18,23,20,20,NORMAL
431,30,27,56,5,14,20,14,15,NORMAL
432,23,23,51,43,10,18,9,12,NORMAL
433,14,15,47,38,7,18,5,10,REABASTECER
434,6,10,38,33,5,18,43,8,REABASTECER
435,86,2,28,33,43,15,41,3,REABASTECER
436,74,65,22,30,38,11,39,43,NORMAL
437,64,59,17,26,32,11,34,37,NORMAL
438,52,56,7,20,30,7,28,34,REABASTECER
439,45,52,65,15,24,6,23,28,NORMAL
440,37,50,56,13,18,43,20,24,NORMAL
441,30,41,51,12,14,40,14,22,NORMAL
442,17,39,46,6,11,40,12,16,REABASTECER
443,5,31,42,43,5,37,8,12,REABASTECER
444,86,28,33,43,43,37,4,8,NORMAL
445,79,24,26,43,37,35,43,5,NORMAL
446,71,22,17,37,34,33,41,43,NORMAL
447,61,12,11,31,28,31,36,37,NORMAL
448,48,10,7,31,23,31,31,31,REABASTECER
449,40,6,65,31,20,31,29,26,REABASTECER
450,28,65,57,30,16,27,26,20,NORMAL
451,16,55,48,26,11,25,21,14,NORMAL
452,8,51,41,26,8,24,15,12,REABASTECER
453,86,42,37,24,3,23,12,9,REABASTECER
454,74,33,28,18,43,23,6,7,REABASTECER
455,67,25,24,15,39,18,43,3,NORMAL
456,60,21,19,14,33,14,41,43,NORMAL
457,52,15,11,9,31,9,39,37,NORMAL
458,39,12,7,5,29,5,35,35,REABASTECER
459,32,6,65,43,26,43,29,31,REABASTECER
460,23,65,58,40,20,43,23,27,NORMAL
461,14,57,49,35,16,43,20,23,NORMAL
462,1,51,42,35,14,37,15,19,REABASTECER
463,86,48,35,35,8,33,11,17,NORMAL
464,79,41,27,29,6,30,6,14,REABASTECER
465,70,35,18,26,43,26,43,11,NORMAL
466,58,27,8,25,38,23,41,6,REABASTECER
467,50,18,65,25,36,17,37,43,NORMAL
468,41,10,59,25,30,13,35,37,NORMAL
469,29,2,50,19,28,7,30,33,REABASTECER
470,16,65,42,14,23,7,27,29,NORMAL
471,4,56,34,9,21,2,23,27,REABASTECER
472,86,54,26,7,19,43,19,23,NORMAL
473,73,49,20,5,16,43,15,18,REABASTECER
474,63,45,12,43,12,39,9,13,NORMAL
475,54,39,4,37,7,33,4,8,REABASTECER
476,47,32,65,31,4,32,43,6,REABASTECER
477,34,27,56,26,43,32,41,43,NORMAL
478,27,22,49,22,40,32,38,41,NORMAL
479,16,20,42,22,34,26,34,35,NORMAL
480,8,17,37,21,29,25,31,32,REABASTECER
481,86,11,32,18,24,19,26,27,NORMAL
482,79,6,23,17,22,16,21,22,REABASTECER
483,72,65,13,12,16,13,15,19,NORMAL
484,61,56,6,12,12,7,10,16,REABASTECER
485,53,52,65,7,7,6,7,13,REABASTECER
486,41,49,61,3,4,43,2,11,REABASTECER
487,33,41,54,43,43,37,43,7,NORMAL
488,23,33,48,39,37,35,38,1,REABASTECER
489,10,26,41,38,31,35,34,43,REABASTECER
490,86,19,33,34,25,32,32,37,NORMAL
491,79,9,24,32,20,27,29,31,REABASTECER
492,66,65,18,31,14,22,25,29,NORMAL
493,54,57,10,31,11,18,23,23,NORMAL
494,47,47,0,30,9,13,18,17,REABASTECER
495,35,45,65,28,7,9,13,11,NORMAL
496,28,37,59,23,2,8,11,9,REABASTECER
497,16,35,51,23,43,4,7,7,REABASTECER
498,8,25,45,20,41,43,3,1,REABASTECER
499,86,23,40,17,39,37,43,43,NORMAL
500,74,15,36,17,35,32,40,39,NORMAL
501,65,10,29,16,29,31,35,34,NORMAL
502,57,3,24,11,24,30,32,29,REABASTECER
503,45,65,18,5,22,30,28,24,REABASTECER
504,32,60,13,43,18,26,22,22,NORMAL
505,23,51,6,43,15,22,17,17,REABASTECER
506,13,44,65,42,11,20,15,15,NORMAL
507,5,37,58,42,6,14,12,9,REABASTECER
508,86,29,48,41,43,13,7,7,NORMAL
509,77,26,38,39,37,8,1,2,REABASTECER
510,69,24,28,36,35,2,43,43,NORMAL
511,59,20,22,31,29,43,40,37,NORMAL
512,48,12,12,28,23,38,37,33,NORMAL
513,39,3,5,22,21,32,31,27,REABASTECER
514,26,65,65,17,19,31,27,25,NORMAL
515,14,59,57,13,14,26,24,20,NORMAL
516,3,52,52,13,9,21,19,17,REABASTECER
517,86,45,42,10,3,16,15,13,REABASTECER
518,79,40,33,10,43,12,10,7,NORMAL
519,72,32,27,7,38,9,5,3,REABASTECER
520,64,22,20,7,33,3,43,43,REABASTECER
521,51,16,11,3,29,43,37,39,NORMAL
522,41,8,2,43,23,41,32,34,REABASTECER
523,32,65,65,43,17,40,26,28,NORMAL
524,24,57,57,37,13,36,21,26,NORMAL
525,16,52,53,32,7,33,19,23,NORMAL
526,8,46,46,30,4,33,14,18,REABASTECER
527,86,40,41,28,43,30,12,12,NORMAL
528,74,30,34,26,38,27,6,6,REABASTECER
529,62,22,28,26,33,24,43,43,NORMAL
530,55,16,21,23,30,18,40,38,NORMAL
531,47,6,12,17,25,12,37,32,REABASTECER
532,40,65,8,12,23,8,33,29,REABASTECER
533,30,57,65,10,19,3,31,25,NORMAL
534,20,48,55,6,15,43,25,22,REABASTECER
535,10,40,51,43,9,43,19,18,REABASTECER
536,86,33,46,40,6,39,13,13,NORMAL
537,78,28,40,39,43,35,11,11,NORMAL
538,67,21,35,35,39,34,6,6,REABASTECER
539,57,11,27,32,35,34,43,43,NORMAL
540,47,6,18,29,30,34,41,41,REABASTECER
541,35,65,13,27,28,33,39,37,NORMAL
542,23,58,7,23,26,33,37,32,REABASTECER
543,13,53,65,19,23,31,33,28,NORMAL
544,0,47,59,19,18,31,30,26,REABASTECER
545,86,42,52,16,16,25,28,20,NORMAL
546,74,32,42,10,13,23,24,15,NORMAL
547,67,22,32,4,11,21,18,11,NORMAL
548,57,12,22,43,8,20,12,8,NORMAL
549,44,3,18,37,3,14,8,2,REABASTECER
550,36,65,14,36,43,13,4,43,REABASTECER
551,27,57,6,35,40,12,43,40,NORMAL
552,14,50,65,30,36,8,39,37,NORMAL
553,2,45,55,26,32,8,37,33,REABASTECER
554,86,41,47,22,26,6,34,31,NORMAL
555,79,36,39,20,21,43,30,29,NORMAL
556,66,29,33,14,15,38,28,24,NORMAL
557,59,21,23,8,11,34,25,22,NORMAL
558,49,13,13,7,6,31,23,16,REABASTECER
559,36,3,8,1,43,30,17,10,NORMAL
560,27,65,65,43,38,25,12,8,NORMAL
561,17,59,56,43,32,21,6,5,REABASTECER
562,10,54,49,42,29,20,43,43,REABASTECER
563,86,46,39,36,25,19,39,40,NORMAL
564,73,44,35,30,23,14,37,35,NORMAL
565,63,35,25,28,21,8,32,31,NORMAL
566,54,25,20,24,17,7,26,27,NORMAL
