,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,target
115,0,0,0,0,6.4,6.3,5.0,4.9,0,3,2,3,EXATAS
116,0,0,0,0,5.7,5.9,5.6,5.0,0,6,5,2,EXATAS
117,1,1,0,0,0.0,0.0,5.9,5.5,0,5,5,3,DIFICULDADE
118,0,0,0,0,5.9,5.0,6.2,0.0,0,10,5,4,EXATAS
119,0,0,0,0,6.4,6.4,5.1,0.0,0,4,1,6,EXATAS
120,1,1,1,1,0.0,0.0,0.0,0.0,1,5,2,3,DIFICULDADE
121,0,0,0,0,5.9,5.0,6.7,5.4,1,15,2,3,HUMANAS
122,0,0,0,0,6.3,4.5,5.0,4.9,0,5,3,3,EXATAS
123,1,1,1,3,0.0,0.0,0.0,0.0,1,7,3,4,DIFICULDADE
124,0,0,0,0,6.3,4.6,6.1,5.4,0,9,2,3,EXATAS
125,0,0,0,0,6.5,6.3,5.3,6.5,1,11,5,1,EXATAS
126,0,0,0,0,6.8,6.9,8.2,7.0,1,13,7,2,HUMANAS
127,1,1,1,1,0.0,0.0,0.0,0.0,1,10,5,6,DIFICULDADE
128,3,1,1,1,0.0,0.0,0.0,0.0,1,1,0,6,DIFICULDADE
129,0,0,0,0,6.5,6.6,5.2,5.1,1,7,2,6,EXATAS
130,1,1,3,1,0.0,0.0,0.0,0.0,1,5,2,5,DIFICULDADE
131,1,1,1,1,0.0,0.0,0.0,0.0,1,2,2,4,DIFICULDADE
132,0,0,0,0,5.8,5.2,4.6,4.7,0,4,1,6,EXATAS
133,0,0,0,0,6.8,6.5,5.7,5.6,0,2,5,6,EXATAS
134,0,0,1,1,5.0,5.8,0.0,0.0,0,4,2,5,DIFICULDADE
135,0,0,0,0,6.5,6.1,6.6,5.7,0,9,3,6,HUMANAS
136,0,0,0,0,6.2,5.3,5.8,4.2,0,10,6,7,EXATAS
137,0,0,0,0,6.2,5.8,5.5,6.9,1,6,0,6,EXATAS
138,0,0,0,0,7.3,7.0,7.2,7.1,0,1,5,3,MUITO_BOM
139,0,0,0,0,6.5,6.8,4.8,5.4,1,4,5,3,EXATAS
140,1,1,1,1,0.0,0.0,0.0,0.0,0,7,5,3,DIFICULDADE
141,0,0,0,0,7.0,6.6,7.5,7.2,1,3,5,8,HUMANAS
142,0,0,0,0,5.0,6.0,5.5,4.6,0,7,0,1,EXATAS
143,0,0,0,0,4.7,4.9,5.2,5.3,1,9,2,6,EXATAS
144,0,0,0,0,5.4,5.2,6.9,0.0,1,6,3,2,HUMANAS
145,1,1,1,1,0.0,0.0,0.0,0.0,1,6,2,1,DIFICULDADE
146,0,0,0,0,6.1,6.1,7.0,4.9,1,2,4,4,HUMANAS
147,0,0,0,0,5.4,4.0,5.9,4.6,0,9,0,8,DIFICULDADE
148,0,0,0,0,5.6,6.0,4.7,5.0,0,5,4,5,EXATAS
149,0,0,0,0,5.5,5.9,5.7,5.6,0,2,4,3,EXATAS
150,0,0,0,0,5.9,4.8,6.3,4.7,1,5,2,6,EXATAS
151,0,0,0,0,6.6,6.7,6.8,5.5,1,0,5,3,HUMANAS
152,3,3,1,1,0.0,0.0,0.0,0.0,1,5,2,4,DIFICULDADE
153,0,0,0,0,6.7,6.8,8.0,5.8,1,10,1,6,HUMANAS
154,0,0,1,1,7.5,7.3,0.0,0.0,0,8,5,3,DIFICULDADE
155,1,1,1,3,0.0,0.0,0.0,0.0,1,5,4,1,DIFICULDADE
156,0,0,0,0,5.9,5.5,5.6,5.0,0,4,5,3,EXATAS
157,0,0,0,0,7.5,7.3,7.3,6.8,1,8,6,1,EXCELENTE
158,0,0,0,0,6.7,6.8,5.6,5.9,1,4,3,3,EXATAS
159,0,0,0,0,5.9,5.1,4.8,5.5,1,9,2,6,EXATAS
160,0,0,0,0,6.3,5.9,6.7,7.1,0,8,5,2,HUMANAS
161,0,0,0,0,6.3,5.5,5.1,5.4,0,3,1,6,EXATAS
162,0,0,1,1,5.9,5.5,0.0,0.0,1,3,2,3,DIFICULDADE
163,0,0,0,0,7.3,6.9,7.2,6.9,1,2,0,3,HUMANAS
164,0,0,0,0,5.5,5.0,5.4,0.0,1,6,5,4,EXATAS
165,0,0,0,0,6.4,5.5,5.9,4.6,1,1,2,6,EXATAS
166,0,0,0,0,7.4,7.5,8.6,6.9,0,11,7,1,EXCELENTE
167,0,0,0,0,6.0,4.3,5.9,4.6,1,2,5,3,EXATAS
168,0,0,0,0,5.1,5.7,6.3,4.7,1,3,2,5,DIFICULDADE
169,0,0,0,0,6.4,5.6,5.0,5.4,0,3,5,3,EXATAS
170,0,0,0,0,5.2,4.8,5.2,4.9,1,4,2,5,DIFICULDADE
171,1,3,1,1,0.0,0.0,0.0,0.0,1,6,3,3,DIFICULDADE
172,1,1,1,1,0.0,0.0,0.0,0.0,1,5,5,3,DIFICULDADE
173,0,0,0,0,6.3,6.3,5.8,0.0,1,4,5,3,EXATAS
174,1,1,1,1,0.0,0.0,0.0,0.0,1,0,4,3,DIFICULDADE
175,0,0,0,0,4.9,4.8,5.7,0.0,0,3,1,6,DIFICULDADE
176,1,1,1,3,0.0,0.0,0.0,0.0,0,3,5,2,DIFICULDADE
177,1,1,1,1,0.0,0.0,0.0,0.0,0,8,0,3,DIFICULDADE
178,0,0,0,0,7.2,6.8,7.9,5.8,1,4,6,2,HUMANAS
179,0,0,0,0,6.3,6.3,5.1,6.2,0,3,5,3,EXATAS
180,0,0,0,0,5.4,5.4,5.1,5.8,1,2,2,6,EXATAS
181,3,1,1,3,0.0,0.0,0.0,0.0,1,2,4,5,DIFICULDADE
182,1,1,1,1,0.0,0.0,0.0,0.0,0,11,5,3,DIFICULDADE
183,0,0,0,0,7.6,7.5,5.9,6.8,1,5,2,6,EXATAS
184,1,3,1,1,0.0,0.0,0.0,0.0,0,0,2,3,DIFICULDADE
185,0,0,0,0,6.5,5.7,6.6,6.2,0,9,3,4,HUMANAS
186,1,3,1,1,0.0,0.0,0.0,0.0,1,5,3,3,DIFICULDADE
187,0,0,0,0,7.6,7.8,9.1,7.3,0,8,4,2,EXCELENTE
188,0,0,0,0,6.2,6.9,5.9,6.4,1,3,3,5,EXATAS
189,0,0,0,0,6.1,5.5,6.1,5.8,1,4,1,6,EXATAS
190,0,0,0,0,5.1,6.0,5.0,5.3,1,1,4,5,DIFICULDADE
191,0,0,0,0,7.0,6.5,7.0,6.2,0,5,5,3,HUMANAS
192,1,1,1,3,0.0,0.0,0.0,0.0,0,2,2,6,DIFICULDADE
193,1,3,1,1,0.0,0.0,0.0,0.0,1,6,2,6,DIFICULDADE
194,0,0,0,0,6.9,7.0,7.2,6.7,1,19,6,2,HUMANAS
195,0,0,0,0,5.2,5.3,5.0,4.5,1,2,3,5,DIFICULDADE
196,0,0,0,0,7.2,7.2,7.3,0.0,0,3,2,6,HUMANAS
197,0,0,0,0,6.6,6.2,6.1,5.9,1,2,5,3,EXATAS
198,0,0,0,0,6.4,6.6,6.6,0.0,1,2,2,6,HUMANAS
199,0,0,0,0,5.5,5.4,7.0,5.0,1,1,0,6,HUMANAS
200,0,0,3,1,6.0,5.5,0.0,0.0,1,13,6,6,DIFICULDADE
201,1,1,3,1,0.0,0.0,0.0,0.0,0,3,3,4,DIFICULDADE
202,0,0,0,0,6.5,6.3,5.5,5.1,0,5,3,3,EXATAS
203,1,3,3,1,0.0,0.0,0.0,0.0,0,7,5,2,DIFICULDADE
204,0,0,0,0,7.2,7.0,5.6,5.3,1,7,0,7,EXATAS
205,0,0,0,0,6.5,6.0,4.8,6.2,0,5,2,6,EXATAS
206,1,3,1,1,0.0,0.0,0.0,0.0,1,2,2,6,DIFICULDADE
207,0,0,0,0,6.6,6.5,5.7,0.0,0,2,0,8,EXATAS
208,0,0,0,0,5.0,5.0,5.0,0.0,1,4,2,6,DIFICULDADE
209,0,0,0,0,7.0,7.0,5.7,6.5,1,8,5,3,EXATAS
210,0,0,0,0,6.6,6.9,6.0,6.4,0,8,0,6,EXATAS
211,0,0,0,0,6.8,6.6,5.0,5.0,0,4,2,6,EXATAS
212,0,0,0,0,6.6,6.4,6.3,7.1,1,4,2,4,EXATAS
213,0,0,0,0,5.8,5.4,5.4,0.0,0,7,0,3,EXATAS
214,0,0,0,0,6.2,5.3,6.9,4.6,1,9,2,8,HUMANAS
215,0,0,0,0,4.8,6.2,5.8,5.6,1,8,5,3,EXATAS
216,0,0,0,0,4.6,6.0,4.5,4.9,1,4,2,6,EXATAS
217,0,0,0,0,5.8,5.7,5.1,5.5,1,5,5,4,EXATAS
218,0,0,0,0,6.7,7.5,5.0,5.6,1,3,1,6,EXATAS
219,0,0,0,0,6.7,6.9,5.5,6.2,1,9,6,2,EXATAS
220,0,0,0,0,6.4,6.6,5.1,5.6,1,3,5,3,EXATAS
221,0,0,0,0,6.3,5.3,5.0,4.4,1,2,2,6,EXATAS
222,0,0,0,0,7.5,7.3,8.4,7.7,0,14,5,2,EXCELENTE
223,1,1,1,3,0.0,0.0,0.0,0.0,1,4,2,4,DIFICULDADE
224,0,0,0,0,6.5,6.7,5.4,5.5,0,17,5,5,EXATAS
225,1,1,1,1,0.0,0.0,0.0,0.0,0,2,3,3,DIFICULDADE
226,1,1,1,1,0.0,0.0,0.0,0.0,1,4,2,6,DIFICULDADE
227,0,0,0,0,8.0,8.7,8.3,7.9,0,9,0,1,EXCELENTE
228,3,3,1,1,0.0,0.0,0.0,0.0,1,2,0,6,DIFICULDADE
229,0,0,0,0,6.2,6.0,5.4,0.0,0,2,0,6,EXATAS
230,0,0,0,0,6.1,6.0,7.0,7.0,1,13,2,5,HUMANAS
231,0,0,0,0,7.0,6.7,8.0,5.2,1,14,1,5,HUMANAS
232,0,0,0,0,6.6,7.5,6.5,5.7,1,3,3,5,EXATAS
233,0,0,0,0,4.9,5.3,7.4,4.8,1,2,3,6,HUMANAS
234,0,0,0,0,5.6,5.1,4.9,4.7,0,6,5,3,DIFICULDADE
235,0,0,0,0,6.8,7.1,7.1,7.2,0,5,0,3,HUMANAS
236,0,0,0,0,6.7,6.1,5.1,5.7,0,4,4,4,EXATAS
237,0,0,0,0,6.5,6.2,5.8,5.8,1,8,3,5,EXATAS
238,0,0,0,0,6.0,5.6,4.9,5.4,1,3,2,6,EXATAS
239,0,0,0,0,6.5,5.6,7.7,4.8,1,4,2,5,HUMANAS
240,0,0,1,1,6.7,5.6,0.0,0.0,0,14,5,3,DIFICULDADE
241,1,1,1,1,0.0,0.0,0.0,0.0,0,5,2,8,DIFICULDADE
242,3,1,1,1,0.0,0.0,0.0,0.0,1,5,2,4,DIFICULDADE
243,3,3,1,1,0.0,0.0,0.0,0.0,0,2,2,6,DIFICULDADE
244,3,1,1,1,0.0,0.0,0.0,0.0,0,3,3,5,DIFICULDADE
245,0,0,0,0,6.9,6.2,5.7,0.0,1,14,5,1,EXATAS
246,0,0,0,0,6.4,5.3,4.9,5.0,1,4,2,6,EXATAS
247,0,0,0,0,6.1,5.7,4.6,5.4,0,9,4,3,EXATAS
248,0,0,0,0,6.8,7.2,7.9,5.3,0,13,5,5,HUMANAS
249,0,0,0,0,6.3,6.3,5.0,0.0,1,13,2,5,EXATAS
250,0,0,1,1,6.4,6.2,0.0,0.0,1,5,4,1,DIFICULDADE
251,0,0,0,0,6.4,6.1,6.8,5.4,0,12,5,4,HUMANAS
252,3,1,1,3,0.0,0.0,0.0,0.0,1,4,5,3,DIFICULDADE
253,0,0,0,0,6.5,5.4,6.1,5.9,1,3,2,5,EXATAS
254,0,0,0,0,5.8,6.4,6.3,5.9,1,8,3,3,EXATAS
255,0,0,0,0,5.2,5.0,6.2,6.0,1,9,2,6,EXATAS
256,0,0,0,0,5.6,4.9,4.7,4.5,1,3,4,4,DIFICULDADE
257,0,0,0,0,7.6,8.1,9.9,7.7,0,10,5,3,EXCELENTE
258,0,0,0,0,7.2,6.7,6.9,6.7,0,14,6,2,HUMANAS
259,1,1,1,3,0.0,0.0,0.0,0.0,1,5,3,1,DIFICULDADE
260,0,0,0,0,7.0,7.4,6.6,6.8,1,7,6,3,MUITO_BOM
261,0,0,0,0,6.5,6.8,5.4,5.7,1,4,0,8,EXATAS
262,0,0,0,0,6.6,7.1,5.8,5.9,1,4,3,3,EXATAS
263,0,0,0,0,5.8,6.4,5.6,5.2,1,4,0,8,EXATAS
264,0,0,0,0,6.5,6.0,5.7,6.3,0,2,1,7,EXATAS
265,0,0,0,0,5.8,5.8,5.2,5.8,1,5,2,5,EXATAS
266,0,0,0,0,5.3,4.6,5.4,5.1,0,2,2,6,DIFICULDADE
267,0,0,0,0,6.0,6.5,6.1,5.9,1,4,6,2,EXATAS
268,0,0,0,0,5.3,5.3,5.9,5.5,1,4,0,4,EXATAS
269,1,3,1,1,0.0,0.0,0.0,0.0,1,2,1,7,DIFICULDADE
270,0,0,0,0,5.5,4.8,6.8,4.6,1,11,7,2,DIFICULDADE
271,0,0,0,0,6.0,5.1,4.6,0.0,1,4,2,5,EXATAS
272,0,0,0,0,6.6,6.8,7.1,6.2,1,12,3,5,HUMANAS
273,1,1,1,3,0.0,0.0,0.0,0.0,1,4,5,1,DIFICULDADE
274,0,0,0,0,6.6,7.4,8.6,6.4,0,12,3,5,HUMANAS
275,0,0,0,0,4.8,4.9,4.7,5.1,1,7,2,3,DIFICULDADE
276,0,0,0,0,6.7,6.5,6.5,0.0,1,13,2,2,EXATAS
277,0,0,0,0,6.8,7.2,4.7,7.1,0,9,5,3,EXATAS
278,0,0,0,0,7.0,7.3,8.3,7.2,1,4,2,5,MUITO_BOM
279,0,0,0,0,5.9,6.7,4.9,4.8,0,5,1,7,EXATAS
280,1,3,1,1,0.0,0.0,0.0,0.0,0,8,2,3,DIFICULDADE
281,0,0,0,0,6.5,6.3,5.9,5.6,0,3,2,6,EXATAS
282,0,0,0,0,4.1,5.2,5.4,5.2,1,7,2,6,DIFICULDADE
283,0,0,0,0,6.6,6.4,5.0,5.4,0,14,6,3,EXATAS
284,1,1,1,1,0.0,0.0,0.0,0.0,0,19,6,3,DIFICULDADE
285,0,0,0,0,6.6,5.1,6.0,0.0,1,4,2,7,EXATAS
286,0,0,0,0,4.2,4.5,5.1,4.8,0,5,7,5,DIFICULDADE
287,0,0,0,0,6.2,6.5,5.6,5.6,0,3,2,3,EXATAS
288,0,0,0,0,7.2,7.1,6.7,6.7,0,5,5,3,MUITO_BOM
289,0,0,0,0,7.0,7.2,6.4,6.2,0,4,7,1,EXATAS
290,0,0,0,0,5.2,5.5,5.6,5.9,0,5,4,3,EXATAS
291,1,1,3,1,0.0,0.0,0.0,0.0,1,3,2,6,DIFICULDADE
292,0,0,1,1,4.8,4.7,0.0,0.0,0,4,4,3,DIFICULDADE
293,1,1,1,3,0.0,0.0,0.0,0.0,1,5,3,3,DIFICULDADE
294,1,1,1,1,0.0,0.0,0.0,0.0,1,3,2,6,DIFICULDADE
295,0,0,0,0,6.9,6.9,5.9,6.1,1,9,2,5,EXATAS
296,0,0,0,0,6.1,6.1,6.4,6.8,0,4,6,1,EXATAS
297,0,0,0,0,7.0,6.4,5.8,5.9,1,12,3,3,EXATAS
298,0,0,0,0,6.8,6.5,6.4,0.0,1,3,5,3,EXATAS
299,1,1,1,1,0.0,0.0,0.0,0.0,1,4,4,2,DIFICULDADE
300,0,0,0,0,6.7,6.8,5.0,5.7,0,5,5,2,EXATAS
301,0,0,0,0,7.7,7.5,8.0,0.0,0,18,7,3,MUITO_BOM
302,0,0,0,0,6.0,6.1,4.8,4.9,1,2,2,3,EXATAS
303,1,1,1,1,0.0,0.0,0.0,0.0,1,4,2,6,DIFICULDADE
304,0,0,0,0,5.4,5.5,5.1,0.0,1,2,4,6,DIFICULDADE
305,0,0,0,0,6.4,5.6,6.3,5.1,1,5,5,3,EXATAS
306,0,0,0,0,6.9,7.3,5.6,6.9,0,14,5,2,EXATAS
307,0,0,0,0,7.7,8.2,5.7,8.0,1,8,6,1,EXCELENTE
308,0,0,0,0,7.4,7.3,7.1,6.1,0,8,3,3,HUMANAS
309,0,0,0,0,7.1,6.1,6.4,6.0,1,3,4,3,EXATAS
310,0,0,0,0,6.4,6.1,6.5,5.8,0,4,4,6,EXATAS
311,0,0,0,0,6.9,5.9,4.7,5.1,1,4,2,1,EXATAS
312,0,0,0,0,6.4,4.9,6.9,4.8,1,13,4,6,HUMANAS
313,1,1,1,1,0.0,0.0,0.0,0.0,0,9,5,3,DIFICULDADE
314,0,0,0,0,7.6,7.4,8.0,7.2,1,13,4,1,MUITO_BOM
315,0,0,0,0,6.6,6.2,8.0,5.0,0,4,0,3,HUMANAS
316,0,0,0,0,6.4,4.7,5.5,0.0,0,5,2,3,EXATAS
317,0,0,0,0,6.7,6.6,7.4,0.0,0,2,2,6,HUMANAS
318,0,0,0,0,5.7,5.3,5.0,5.4,1,2,2,6,EXATAS
319,0,0,0,0,6.5,6.4,4.9,5.5,1,9,2,6,EXATAS
320,1,3,1,1,0.0,0.0,0.0,0.0,1,3,2,6,DIFICULDADE
321,0,0,0,0,6.1,6.7,5.4,6.7,1,5,0,4,EXATAS
322,0,0,0,0,6.7,7.0,6.5,7.0,0,13,5,6,EXATAS
323,0,0,0,0,6.7,6.8,4.8,6.0,1,7,2,5,EXATAS
324,1,1,1,1,0.0,0.0,0.0,0.0,1,3,5,4,DIFICULDADE
325,3,3,1,1,0.0,0.0,0.0,0.0,1,9,1,7,DIFICULDADE
326,0,0,0,0,4.9,4.2,5.0,5.0,0,2,2,5,DIFICULDADE
327,0,0,0,0,5.6,6.1,5.6,4.9,0,0,1,3,EXATAS
328,0,0,0,0,7.3,7.2,7.3,6.6,0,4,6,3,MUITO_BOM
329,1,3,1,1,0.0,0.0,0.0,0.0,1,9,2,6,DIFICULDADE
330,0,0,0,0,5.5,5.8,5.1,5.7,1,5,3,6,EXATAS
331,0,0,0,0,6.6,6.3,6.1,5.3,1,12,7,2,EXATAS
332,3,1,1,1,0.0,0.0,0.0,0.0,1,4,2,5,DIFICULDADE
