,pretende_fazer_cursos_lit,interesse_mba_lit,horas_semanais_estudo,total_modulos,modulos_iniciados,modulos_finalizados,certificados,target
116,0,0,5,520,191,145,1,perfil1
117,0,0,7,50,42,29,0,perfil2
118,1,1,7,28,28,28,0,perfil2
119,1,1,7,123,11,4,0,perfil6
120,1,1,7,27,11,9,0,perfil4
121,0,0,3,29,3,1,0,perfil6
122,0,0,2,20,3,1,0,perfil6
123,0,0,5,27,21,16,0,perfil3
124,0,0,6,23,4,1,0,perfil6
125,1,1,6,30,8,7,0,perfil5
126,1,1,5,27,5,2,0,perfil6
127,0,0,8,33,3,1,0,perfil6
128,0,0,10,10,9,6,0,perfil5
129,0,0,4,58,58,58,0,perfil2
130,1,1,5,27,4,3,0,perfil6
131,1,1,8,60,7,3,0,perfil6
132,0,0,9,33,10,9,0,perfil4
133,0,0,6,33,3,1,0,perfil6
134,0,0,3,94,50,23,0,perfil2
135,0,0,6,10,2,1,0,perfil6
136,0,0,4,215,23,12,0,perfil4
137,1,1,8,37,7,4,0,perfil6
138,0,0,9,89,89,89,0,perfil2
139,1,1,5,10,3,1,0,perfil6
140,0,0,2,36,3,2,0,perfil6
141,1,1,6,122,44,40,1,perfil1
142,0,0,2,29,29,28,0,perfil2
143,1,1,2,148,19,9,0,perfil4
144,0,0,8,24,5,3,0,perfil6
145,0,0,9,29,23,19,0,perfil3
146,0,0,7,22,6,4,0,perfil6
147,0,0,5,62,14,7,0,perfil5
148,0,0,5,63,34,29,0,perfil2
149,0,0,6,81,45,33,0,perfil2
150,0,0,8,34,9,7,0,perfil5
151,0,0,10,27,26,25,0,perfil2
152,0,0,4,30,4,2,0,perfil6
153,0,0,7,130,77,74,0,perfil2
154,0,0,8,54,13,9,0,perfil4
155,0,0,4,29,5,1,0,perfil6
156,1,1,3,367,42,16,0,perfil3
157,0,0,8,105,45,35,0,perfil2
158,1,1,7,23,3,2,0,perfil6
159,1,1,5,10,10,9,0,perfil4
160,1,1,2,31,2,1,0,perfil6
161,1,1,7,33,11,8,0,perfil5
162,1,1,2,133,15,10,0,perfil4
163,0,0,6,31,2,1,0,perfil6
164,0,0,5,18,4,1,0,perfil6
165,0,0,3,45,4,2,0,perfil6
166,1,1,2,124,44,40,0,perfil2
167,1,1,9,100,99,99,3,perfil1
168,0,0,4,30,3,1,0,perfil6
169,1,1,4,71,7,3,0,perfil6
170,1,1,9,100,99,99,0,perfil2
171,0,0,2,88,38,37,0,perfil2
172,1,1,2,138,85,78,1,perfil1
173,1,1,8,27,5,3,0,perfil6
174,1,1,9,10,6,3,0,perfil6
175,1,1,3,27,10,8,0,perfil5
176,1,1,6,82,56,50,0,perfil2
177,0,0,4,11,3,1,0,perfil6
178,0,0,9,82,82,82,3,perfil1
179,0,0,6,31,31,31,0,perfil2
180,1,1,7,100,37,26,0,perfil2
181,0,0,3,54,48,46,1,perfil1
182,1,1,9,29,15,13,0,perfil4
183,1,1,10,152,117,116,1,perfil1
184,0,0,10,18,13,11,0,perfil4
185,0,0,5,30,4,2,0,perfil6
186,1,1,2,29,29,29,1,perfil1
187,1,1,3,40,11,7,0,perfil5
188,1,1,7,31,2,1,0,perfil6
189,0,0,2,61,54,53,3,perfil1
190,0,0,5,100,97,97,2,perfil1
191,1,1,6,10,4,2,0,perfil6
192,1,1,5,158,99,91,0,perfil2
193,1,1,3,55,28,20,0,perfil3
194,1,1,4,102,50,47,0,perfil2
195,0,0,8,77,23,18,1,perfil1
196,1,1,9,45,15,9,0,perfil4
197,0,0,6,128,72,69,0,perfil2
198,1,1,2,238,117,104,0,perfil2
199,1,1,5,10,8,6,0,perfil5
200,0,0,5,134,25,18,0,perfil3
201,0,0,5,164,87,84,1,perfil1
202,0,0,6,10,2,1,0,perfil6
203,1,1,10,10,4,1,0,perfil6
204,1,1,9,95,24,23,0,perfil2
205,1,1,8,114,36,26,0,perfil2
206,0,0,2,63,57,56,1,perfil1
207,0,0,10,100,99,99,3,perfil1
208,0,0,5,127,99,92,0,perfil2
209,0,0,8,10,5,2,0,perfil6
210,0,0,9,286,209,193,0,perfil2
211,1,1,2,53,53,53,0,perfil2
212,1,1,10,31,4,1,0,perfil6
213,0,0,6,40,11,10,0,perfil4
214,1,1,5,20,2,1,0,perfil6
215,0,0,4,49,35,35,1,perfil1
216,0,0,9,141,60,51,0,perfil2
217,1,1,10,10,9,8,0,perfil5
218,0,0,2,83,16,11,0,perfil4
219,0,0,2,10,4,1,0,perfil6
220,1,1,9,54,33,29,0,perfil2
221,1,1,8,33,9,7,0,perfil5
222,1,1,7,58,12,3,0,perfil6
223,1,1,10,10,5,4,0,perfil6
224,1,1,9,36,16,6,0,perfil5
225,1,1,10,60,14,6,0,perfil5
226,1,1,2,29,7,5,0,perfil5
227,1,1,5,10,3,1,0,perfil6
228,1,1,8,39,12,3,0,perfil6
229,0,0,8,10,3,2,0,perfil6
230,1,1,5,71,27,23,0,perfil2
231,1,1,6,59,8,4,0,perfil6
232,0,0,3,58,9,7,0,perfil5
233,0,0,7,48,5,2,0,perfil6
234,1,1,5,63,33,28,0,perfil2
235,0,0,2,256,71,41,0,perfil2
236,0,0,7,163,88,42,0,perfil2
237,1,1,4,54,41,40,0,perfil2
238,1,1,3,28,2,1,0,perfil6
239,1,1,5,6,1,1,0,perfil6
240,1,1,5,10,3,1,0,perfil6
241,1,1,4,74,14,9,0,perfil4
242,1,1,5,27,10,9,0,perfil4
243,1,1,7,33,4,2,0,perfil6
244,0,0,9,57,7,2,0,perfil6
245,1,1,3,277,172,148,6,perfil1
246,1,1,8,53,13,10,0,perfil4
247,0,0,4,714,585,562,3,perfil1
248,1,1,6,27,2,1,0,perfil6
249,0,0,2,196,195,195,6,perfil1
250,0,0,10,54,54,54,0,perfil2
251,0,0,7,18,2,1,0,perfil6
252,1,1,3,58,58,58,2,perfil1
253,0,0,10,35,19,16,0,perfil3
254,1,1,10,29,4,1,0,perfil6
255,0,0,6,10,5,2,0,perfil6
256,0,0,10,403,212,193,6,perfil1
257,1,1,4,134,20,10,0,perfil4
258,0,0,3,36,18,12,0,perfil4
259,0,0,8,52,37,36,0,perfil2
260,1,1,9,27,7,6,0,perfil5
261,1,1,8,317,317,317,8,perfil1
262,1,1,4,37,8,7,0,perfil5
263,0,0,2,30,4,1,0,perfil6
264,1,1,5,10,5,3,0,perfil6
265,0,0,4,33,20,19,0,perfil3
266,1,1,5,29,3,2,0,perfil6
267,0,0,9,10,10,10,1,perfil1
268,0,0,5,301,96,59,0,perfil2
269,1,1,10,21,18,15,1,perfil1
270,0,0,9,114,29,24,0,perfil2
271,0,0,4,27,7,3,0,perfil6
272,1,1,3,97,31,15,0,perfil3
273,0,0,2,19,16,13,0,perfil4
274,1,1,9,27,22,17,0,perfil3
275,1,1,9,40,39,39,0,perfil2
276,1,1,7,114,3,1,0,perfil6
277,0,0,4,91,38,27,0,perfil2
278,0,0,9,31,31,31,0,perfil2
279,1,1,2,28,21,20,0,perfil3
280,1,1,9,98,18,5,0,perfil5
281,1,1,8,218,88,70,0,perfil2
282,1,1,7,223,56,48,0,perfil2
283,0,0,4,21,12,8,0,perfil5
284,1,1,5,9,7,3,0,perfil6
285,1,1,9,20,3,2,0,perfil6
286,1,1,2,30,3,2,0,perfil6
287,1,1,4,22,3,1,0,perfil6
288,0,0,4,10,10,8,0,perfil5
289,0,0,4,45,6,3,0,perfil6
290,0,0,2,27,3,1,0,perfil6
291,0,0,6,31,3,1,0,perfil6
292,0,0,5,30,5,3,0,perfil6
293,1,1,10,732,161,90,0,perfil2
294,0,0,7,59,32,31,0,perfil2
295,1,1,3,52,46,44,4,perfil1
296,1,1,4,31,15,10,0,perfil4
297,0,0,5,286,265,246,0,perfil2
298,1,1,3,38,4,2,0,perfil6
299,1,1,6,30,3,1,0,perfil6
300,0,0,7,41,13,11,0,perfil4
301,0,0,2,56,56,55,0,perfil2
302,0,0,3,41,3,1,0,perfil6
303,1,1,8,10,10,10,1,perfil1
304,0,0,5,41,8,6,0,perfil5
305,0,0,8,38,6,1,0,perfil6
306,1,1,8,114,3,1,0,perfil6
307,1,1,4,69,55,53,0,perfil2
308,0,0,9,40,3,1,0,perfil6
309,0,0,5,100,18,11,0,perfil4
310,0,0,5,31,31,30,0,perfil2
311,1,1,6,27,25,22,0,perfil2
312,0,0,6,27,7,6,0,perfil5
313,1,1,9,45,43,38,0,perfil2
314,0,0,7,11,10,5,0,perfil5
315,1,1,2,29,4,3,0,perfil6
316,1,1,2,21,18,14,0,perfil4
317,1,1,10,40,34,32,0,perfil2
318,1,1,3,102,40,36,0,perfil2
319,0,0,4,29,2,1,0,perfil6
320,0,0,7,52,2,1,0,perfil6
321,1,1,4,69,56,55,0,perfil2
322,0,0,6,379,128,119,3,perfil1
323,1,1,8,31,6,2,0,perfil6
324,0,0,10,113,19,12,0,perfil4
325,1,1,4,51,19,15,0,perfil3
326,0,0,2,27,3,1,0,perfil6
327,0,0,5,10,5,3,0,perfil6
328,0,0,10,38,6,5,0,perfil3
329,0,0,6,27,5,1,0,perfil6
330,1,1,6,55,40,33,1,perfil1
331,1,1,5,54,11,7,0,perfil5
332,0,0,3,10,6,4,0,perfil6
333,0,0,8,31,31,27,0,perfil2
334,1,1,2,84,58,55,2,perfil1
335,0,0,2,96,16,6,0,perfil5
336,0,0,7,10,6,2,1,perfil1
337,0,0,6,30,3,1,0,perfil6
338,1,1,2,91,3,3,0,perfil6
339,0,0,4,31,20,13,1,perfil1
340,1,1,10,19,13,10,0,perfil4
341,1,1,5,22,8,6,0,perfil5
342,1,1,6,90,29,26,0,perfil2
343,1,1,9,27,16,13,0,perfil4
344,0,0,10,66,7,2,0,perfil6
345,1,1,5,41,25,20,0,perfil3
346,1,1,4,22,4,1,0,perfil6
347,1,1,6,57,4,2,0,perfil6
348,0,0,3,250,177,173,9,perfil1
349,1,1,8,95,20,10,0,perfil4
350,0,0,9,63,19,17,0,perfil3
351,1,1,3,40,39,39,0,perfil2
352,0,0,2,57,11,9,0,perfil4
353,1,1,9,61,8,2,0,perfil6
354,0,0,5,359,220,166,0,perfil2
355,1,1,4,99,81,77,0,perfil2
356,0,0,8,176,55,46,0,perfil2
357,1,1,8,31,3,1,0,perfil6
358,0,0,9,40,11,4,0,perfil6
359,0,0,4,63,58,57,0,perfil2
360,0,0,9,58,34,32,0,perfil2
361,1,1,3,27,6,5,0,perfil5
362,0,0,6,10,10,10,0,perfil4
363,1,1,3,95,75,70,2,perfil1
364,1,1,6,230,82,51,0,perfil2
365,0,0,7,5,3,1,0,perfil6
366,1,1,10,10,8,6,0,perfil5
367,1,1,2,114,60,51,0,perfil2
368,1,1,3,31,9,6,0,perfil5
369,1,1,3,27,4,2,0,perfil6
370,0,0,4,54,26,23,0,perfil2
371,1,1,7,29,3,1,0,perfil6
372,0,0,10,145,74,67,1,perfil1
373,1,1,3,128,7,2,0,perfil6
374,1,1,5,27,2,1,0,perfil6
375,1,1,8,68,9,4,0,perfil6
376,1,1,2,31,5,3,0,perfil6
377,0,0,4,159,52,44,0,perfil2
378,0,0,9,29,17,15,0,perfil3
379,1,1,3,299,170,159,0,perfil2
380,0,0,7,33,3,1,0,perfil6
381,1,1,2,29,12,7,0,perfil5
382,0,0,7,27,10,5,0,perfil5
383,0,0,10,25,7,5,0,perfil5
384,1,1,4,22,16,14,0,perfil4
385,0,0,6,37,6,2,0,perfil6
386,1,1,5,181,21,5,0,perfil5
387,0,0,6,71,23,9,0,perfil4
388,0,0,9,125,81,77,0,perfil2
389,0,0,4,27,27,27,0,perfil2
390,1,1,10,29,8,7,0,perfil5
391,0,0,8,313,104,65,0,perfil2
392,1,1,8,10,3,2,0,perfil6
393,0,0,6,22,2,1,0,perfil6
394,1,1,5,37,37,37,0,perfil2
395,1,1,5,10,6,5,0,perfil5
396,1,1,6,91,90,88,4,perfil1
397,0,0,9,109,41,23,0,perfil2
398,0,0,7,54,17,14,0,perfil4
399,0,0,9,67,50,49,0,perfil2
400,0,0,8,10,10,9,0,perfil4
401,1,1,4,86,26,11,0,perfil4
402,1,1,5,30,6,3,0,perfil6
403,0,0,2,87,36,29,0,perfil2
404,0,0,9,10,7,4,0,perfil6
405,1,1,9,45,5,2,0,perfil6
406,1,1,4,36,8,3,0,perfil6
407,0,0,4,82,82,82,3,perfil1
408,1,1,4,31,12,1,0,perfil6
409,0,0,5,44,10,2,0,perfil6
410,0,0,5,185,58,39,0,perfil2
411,1,1,6,100,99,99,0,perfil2
412,1,1,5,373,141,102,0,perfil2
413,1,1,6,46,38,37,2,perfil1
414,1,1,2,61,23,18,0,perfil3
415,0,0,7,29,29,29,0,perfil2
416,1,1,7,36,10,8,0,perfil5
417,1,1,3,33,9,8,0,perfil5
418,0,0,9,31,4,3,0,perfil6
419,0,0,3,74,49,47,1,perfil1
420,1,1,2,159,159,158,10,perfil1
421,1,1,3,100,62,59,0,perfil2
422,0,0,10,164,34,29,1,perfil1
423,0,0,10,959,235,169,2,perfil1
424,1,1,4,27,4,1,0,perfil6
425,1,1,3,27,9,5,0,perfil5
426,1,1,5,50,5,3,0,perfil6
427,1,1,7,10,10,10,0,perfil4
428,0,0,7,56,24,24,0,perfil2
429,0,0,8,62,39,36,0,perfil2
430,0,0,6,33,27,23,0,perfil2
431,1,1,7,60,11,8,0,perfil5
432,0,0,9,31,5,2,0,perfil6
433,0,0,5,28,4,2,0,perfil6
434,0,0,6,63,33,30,0,perfil2
435,1,1,3,203,74,55,1,perfil1
436,1,1,2,29,3,2,0,perfil6
437,0,0,5,38,4,1,0,perfil6
438,0,0,2,197,45,20,0,perfil2
439,0,0,10,10,10,10,0,perfil4
440,0,0,5,68,6,3,0,perfil6
441,0,0,3,38,26,18,0,perfil3
442,0,0,6,211,206,204,0,perfil2
443,1,1,10,54,15,11,0,perfil4
444,1,1,3,1044,395,294,4,perfil1
445,1,1,6,21,9,3,0,perfil6
446,0,0,5,55,51,49,0,perfil2
447,1,1,8,77,23,10,0,perfil4
448,0,0,7,10,2,1,0,perfil6
449,0,0,2,21,17,14,1,perfil1
450,0,0,3,10,10,7,0,perfil5
451,0,0,6,217,50,27,0,perfil2
452,1,1,5,26,5,3,0,perfil6
453,0,0,5,112,26,20,1,perfil1
454,1,1,5,130,86,79,0,perfil2
455,1,1,10,124,19,9,0,perfil4
456,0,0,2,20,5,4,0,perfil6
457,1,1,10,16,4,3,0,perfil6
458,0,0,5,137,112,110,4,perfil1
459,0,0,9,113,86,81,2,perfil1
460,1,1,8,10,9,8,0,perfil5
461,1,1,9,10,4,2,0,perfil6
462,0,0,4,21,15,9,0,perfil4
463,1,1,8,10,10,9,0,perfil4
464,1,1,4,27,5,3,0,perfil6
465,0,0,6,30,23,18,1,perfil1
466,0,0,9,20,5,4,0,perfil6
467,0,0,6,31,3,1,0,perfil6
468,1,1,9,115,67,61,0,perfil2
469,0,0,3,31,5,2,0,perfil6
470,1,1,7,21,14,11,0,perfil4
471,0,0,6,33,8,7,0,perfil5
472,1,1,6,100,99,99,3,perfil1
473,0,0,7,21,19,16,0,perfil3
474,1,1,9,68,27,21,0,perfil2
475,0,0,9,31,2,1,0,perfil6
476,1,1,6,48,6,2,0,perfil6
477,1,1,2,31,31,29,0,perfil2
478,0,0,8,26,8,7,0,perfil5
479,1,1,7,236,56,42,0,perfil2
480,0,0,5,26,4,1,0,perfil6
481,0,0,6,28,3,1,0,perfil6
482,1,1,9,52,20,17,0,perfil3
483,1,1,5,31,2,1,0,perfil6
484,0,0,7,30,3,1,0,perfil6
485,0,0,7,33,10,6,0,perfil5
486,1,1,8,10,4,1,0,perfil6
487,0,0,10,11,5,2,0,perfil6
488,1,1,8,79,43,41,1,perfil1
489,1,1,7,98,66,61,0,perfil2
490,1,1,3,115,65,61,0,perfil2
491,0,0,3,58,31,28,0,perfil2
492,1,1,10,297,189,169,0,perfil2
493,1,1,8,9,2,1,0,perfil6
494,1,1,3,218,160,154,5,perfil1
495,1,1,4,32,6,3,0,perfil6
496,0,0,2,27,6,5,0,perfil5
497,1,1,3,8,8,8,0,perfil5
498,1,1,8,35,5,3,0,perfil6
499,1,1,10,10,4,2,0,perfil6
500,1,1,10,136,101,100,3,perfil1
501,1,1,3,209,49,40,0,perfil2
502,0,0,5,18,14,14,0,perfil4
503,0,0,4,27,24,23,0,perfil2
504,0,0,8,185,136,94,0,perfil2
505,0,0,2,412,399,361,14,perfil1
506,1,1,3,21,8,2,0,perfil6
507,0,0,6,99,62,61,0,perfil2
508,0,0,7,100,99,99,0,perfil2
509,0,0,3,27,27,27,0,perfil2
510,1,1,7,27,26,25,0,perfil2
511,0,0,3,61,15,12,0,perfil4
512,1,1,10,64,7,4,0,perfil6
513,1,1,7,14,8,2,0,perfil6
514,0,0,6,10,5,2,0,perfil6
515,1,1,2,40,19,16,0,perfil3
516,0,0,2,60,33,32,0,perfil2
517,0,0,7,94,51,34,0,perfil2
518,0,0,7,68,47,44,1,perfil1
519,1,1,3,21,5,3,0,perfil6
520,1,1,3,10,5,2,0,perfil6
521,0,0,4,64,7,2,0,perfil6
522,0,0,5,82,78,68,3,perfil1
523,1,1,2,29,4,1,0,perfil6
524,1,1,3,115,61,42,0,perfil2
525,1,1,5,31,2,1,0,perfil6
526,0,0,10,298,149,126,1,perfil1
527,1,1,5,111,30,25,1,perfil1
528,0,0,9,89,26,14,0,perfil4
529,1,1,5,103,75,64,0,perfil2
530,0,0,6,38,9,5,0,perfil5
531,1,1,9,18,4,4,0,perfil6
532,1,1,9,67,11,5,0,perfil5
533,0,0,3,969,683,633,13,perfil1
534,1,1,2,215,93,89,1,perfil1
535,0,0,8,31,18,17,0,perfil3
536,0,0,4,10,4,2,0,perfil6
537,0,0,10,253,174,171,7,perfil1
538,0,0,3,278,211,194,6,perfil1
539,0,0,2,69,29,28,0,perfil2
540,0,0,10,210,153,94,0,perfil2
541,1,1,8,29,22,20,0,perfil3
542,1,1,3,164,163,163,5,perfil1
543,1,1,6,10,3,1,0,perfil6
544,0,0,7,208,137,127,1,perfil1
545,1,1,10,59,33,30,0,perfil2
546,1,1,4,67,24,20,0,perfil3
547,0,0,5,21,12,9,0,perfil4
548,1,1,7,31,31,31,0,perfil2
549,1,1,3,78,59,58,0,perfil2
550,0,0,6,100,45,34,0,perfil2
551,1,1,2,29,9,6,0,perfil5
552,1,1,3,21,20,18,0,perfil3
553,0,0,3,30,26,24,2,perfil1
554,1,1,10,38,3,1,0,perfil6
555,0,0,7,10,7,5,0,perfil5
556,1,1,6,198,167,166,0,perfil2
557,1,1,9,146,47,30,0,perfil2
558,0,0,3,418,110,90,0,perfil2
559,0,0,9,85,21,17,0,perfil3
560,1,1,6,27,14,10,0,perfil4
561,0,0,5,30,4,1,0,perfil6
562,1,1,3,58,39,20,0,perfil3
563,0,0,6,27,10,5,0,perfil5
564,1,1,10,21,12,3,0,perfil6
565,0,0,10,40,39,39,0,perfil2
566,0,0,7,27,4,3,0,perfil6
567,0,0,5,27,2,1,0,perfil6
568,1,1,10,10,9,8,0,perfil5
569,0,0,6,30,5,1,0,perfil6
570,0,0,6,40,3,2,0,perfil6
571,0,0,9,27,8,4,0,perfil6
572,1,1,9,267,100,77,0,perfil2
573,0,0,8,127,27,10,0,perfil4
574,1,1,8,258,63,42,0,perfil2
575,1,1,7,10,9,7,0,perfil5
576,1,1,9,62,20,17,0,perfil3
577,0,0,8,29,15,12,0,perfil4
578,1,1,3,31,6,2,0,perfil6
579,1,1,10,31,31,31,0,perfil2
580,0,0,2,10,10,10,0,perfil4
581,1,1,3,10,6,5,0,perfil5
582,1,1,7,41,7,1,0,perfil6
583,0,0,3,422,132,115,0,perfil2
584,0,0,3,57,57,57,1,perfil1
585,0,0,4,26,3,1,0,perfil6
586,1,1,9,68,15,14,0,perfil4
587,1,1,10,40,2,1,0,perfil6
588,1,1,5,67,67,67,3,perfil1
589,1,1,5,10,10,8,1,perfil1
590,0,0,6,30,11,7,0,perfil5
591,1,1,7,31,3,1,0,perfil6
592,1,1,10,83,27,18,0,perfil3
593,0,0,3,27,5,5,0,perfil5
594,1,1,8,27,27,27,0,perfil2
595,0,0,10,57,15,7,0,perfil5
596,1,1,7,47,17,14,0,perfil4
597,0,0,3,149,113,112,3,perfil1
598,0,0,2,33,12,10,0,perfil4
599,1,1,6,27,8,6,0,perfil5
600,1,1,5,58,50,36,0,perfil2
601,1,1,9,29,4,1,0,perfil6
602,0,0,10,75,54,53,0,perfil2
603,1,1,6,142,61,46,0,perfil2
604,0,0,3,135,16,10,0,perfil4
605,0,0,3,27,27,27,0,perfil2
606,1,1,4,51,14,9,0,perfil4
607,0,0,2,22,22,20,1,perfil1
608,1,1,3,46,23,12,0,perfil4
609,1,1,9,60,17,13,0,perfil4
610,0,0,7,32,5,3,0,perfil6
611,0,0,3,31,2,1,0,perfil6
612,0,0,8,145,52,44,0,perfil2
613,1,1,3,76,76,76,0,perfil2
614,1,1,2,58,14,8,0,perfil5
615,1,1,8,32,20,17,0,perfil3
616,1,1,6,54,54,53,0,perfil2
617,0,0,10,10,10,10,1,perfil1
618,1,1,9,27,1,1,0,perfil6
619,1,1,10,88,50,48,1,perfil1
620,1,1,2,33,4,2,0,perfil6
621,1,1,4,57,6,3,0,perfil6
622,1,1,3,30,12,10,0,perfil4
623,0,0,2,10,10,7,0,perfil5
624,0,0,8,31,7,7,0,perfil5
625,0,0,3,11,1,1,0,perfil6
626,1,1,3,29,8,6,0,perfil5
627,1,1,9,10,9,7,0,perfil5
628,0,0,9,25,3,1,0,perfil6
629,1,1,4,31,4,1,0,perfil6
630,0,0,10,29,25,25,0,perfil2
631,0,0,9,443,206,181,6,perfil1
632,1,1,10,32,16,7,0,perfil5
633,0,0,3,64,48,36,0,perfil2
634,0,0,4,91,26,15,0,perfil3
635,0,0,6,27,10,8,0,perfil5
636,0,0,2,48,7,5,0,perfil5
637,0,0,3,10,3,1,0,perfil6
638,1,1,3,64,52,51,2,perfil1
639,0,0,8,10,5,2,0,perfil6
640,0,0,6,31,13,12,0,perfil4
641,0,0,7,99,19,11,0,perfil4
642,1,1,9,27,7,5,0,perfil5
643,0,0,6,29,16,15,0,perfil3
644,0,0,9,20,13,12,0,perfil4
645,1,1,2,88,38,29,0,perfil2
646,1,1,9,261,124,116,2,perfil1
647,1,1,3,225,80,46,0,perfil2
648,1,1,10,27,2,1,0,perfil6
649,1,1,2,10,4,1,0,perfil6
650,1,1,10,51,30,28,0,perfil2
651,1,1,9,27,6,2,0,perfil6
652,1,1,4,69,66,38,0,perfil2
653,1,1,2,114,3,1,0,perfil6
654,0,0,5,10,10,9,0,perfil4
655,0,0,5,10,9,8,0,perfil5
656,1,1,9,275,54,38,0,perfil2
657,1,1,3,117,63,53,0,perfil2
658,1,1,2,58,22,15,0,perfil3
659,1,1,9,38,26,10,0,perfil4
